Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,116794.42671 ms,30.35987 ms,32.26577 ms,1041.08001 ms²,95% with bounds 29.34027 ms - 31.37947 ms,3.03458 ms,22.15775 ms,50.50138 ms,142.65046 ms,0.42321 ms,143.07367 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,115904.43480 ms,30.12852 ms,31.94697 ms,1020.60914 ms²,95% with bounds 29.11900 ms - 31.13805 ms,3.03513 ms,20.79950 ms,50.54058 ms,131.83283 ms,0.42583 ms,132.25867 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (3072bit),3847,116174.99635 ms,30.19886 ms,32.05878 ms,1027.76519 ms²,95% with bounds 29.18580 ms - 31.21191 ms,3.03529 ms,18.50317 ms,50.55283 ms,136.54213 ms,0.42221 ms,136.96433 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (3072bit),3847,116202.32548 ms,30.20596 ms,32.07590 ms,1028.86344 ms²,95% with bounds 29.19236 ms - 31.21956 ms,3.03433 ms,18.87758 ms,49.97367 ms,117.61325 ms,0.42633 ms,118.03958 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (3072bit),3847,115845.03774 ms,30.11308 ms,32.06384 ms,1028.08979 ms²,95% with bounds 29.09987 ms - 31.12630 ms,3.03471 ms,18.85367 ms,50.00321 ms,132.56933 ms,0.42163 ms,132.99096 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (3072bit),3847,115758.92520 ms,30.09070 ms,31.86131 ms,1015.14326 ms²,95% with bounds 29.08388 ms - 31.09752 ms,3.03521 ms,18.18292 ms,50.97504 ms,116.12233 ms,0.42617 ms,116.54850 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (3072bit),3847,115839.71936 ms,30.11170 ms,31.96055 ms,1021.47702 ms²,95% with bounds 29.10175 ms - 31.12166 ms,3.03546 ms,22.34000 ms,49.97717 ms,129.19100 ms,0.42608 ms,129.61708 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (3072bit),3847,116267.96066 ms,30.22302 ms,32.00080 ms,1024.05138 ms²,95% with bounds 29.21180 ms - 31.23425 ms,3.03558 ms,22.23392 ms,50.52075 ms,136.16608 ms,0.42404 ms,136.59013 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (3072bit),3847,117157.46986 ms,30.45424 ms,32.31048 ms,1043.96698 ms²,95% with bounds 29.43323 ms - 31.47525 ms,3.03467 ms,22.20038 ms,51.34767 ms,145.08475 ms,0.42571 ms,145.51046 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (3072bit),3847,116655.44133 ms,30.32374 ms,32.06203 ms,1027.97374 ms²,95% with bounds 29.31058 ms - 31.33690 ms,3.03450 ms,21.81783 ms,50.41608 ms,130.49938 ms,0.42279 ms,130.92217 ms,
