Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,117705.64336 ms,30.59674 ms,32.96844 ms,1086.91792 ms²,95% with bounds 29.55493 ms - 31.63854 ms,3.03146 ms,18.44171 ms,51.52792 ms,128.68675 ms,0.42100 ms,129.10775 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,117165.38414 ms,30.45630 ms,32.32973 ms,1045.21151 ms²,95% with bounds 29.43468 ms - 31.47792 ms,3.03329 ms,21.95804 ms,51.24796 ms,122.42842 ms,0.42500 ms,122.85342 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (1536bit),3847,116466.41138 ms,30.27461 ms,31.98576 ms,1023.08857 ms²,95% with bounds 29.26386 ms - 31.28536 ms,3.03283 ms,22.34921 ms,50.30683 ms,152.77792 ms,0.42183 ms,153.19975 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (1536bit),3847,116553.96427 ms,30.29737 ms,31.87730 ms,1016.16221 ms²,95% with bounds 29.29004 ms - 31.30469 ms,3.03250 ms,22.40579 ms,51.05638 ms,122.49400 ms,0.42158 ms,122.91558 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (1536bit),3847,116116.92751 ms,30.18376 ms,31.74670 ms,1007.85299 ms²,95% with bounds 29.18057 ms - 31.18696 ms,3.03183 ms,22.36933 ms,50.70367 ms,122.10129 ms,0.42171 ms,122.52300 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (1536bit),3847,116510.25554 ms,30.28600 ms,31.93910 ms,1020.10617 ms²,95% with bounds 29.27673 ms - 31.29528 ms,3.03142 ms,22.40842 ms,50.87596 ms,120.22854 ms,0.42225 ms,120.65079 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (1536bit),3847,115793.97446 ms,30.09981 ms,31.79126 ms,1010.68398 ms²,95% with bounds 29.09521 ms - 31.10441 ms,3.03138 ms,17.76617 ms,50.61175 ms,122.37137 ms,0.42392 ms,122.79529 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (1536bit),3847,115983.36724 ms,30.14904 ms,31.89507 ms,1017.29529 ms²,95% with bounds 29.14116 ms - 31.15693 ms,3.03250 ms,18.95975 ms,50.37463 ms,125.28946 ms,0.42508 ms,125.71454 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (1536bit),3847,115285.74923 ms,29.96770 ms,31.78061 ms,1010.00743 ms²,95% with bounds 28.96343 ms - 30.97197 ms,3.03254 ms,17.96900 ms,50.19038 ms,138.74025 ms,0.42121 ms,139.16146 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (1536bit),3847,115970.42458 ms,30.14568 ms,31.84966 ms,1014.40085 ms²,95% with bounds 29.13923 ms - 31.15213 ms,3.03142 ms,17.09983 ms,50.35596 ms,124.84604 ms,0.42142 ms,125.26746 ms,
