Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,88359.61297 ms,22.96845 ms,1.28920 ms,1.66204 ms²,95% with bounds 22.92771 ms - 23.00919 ms,22.36813 ms,22.49146 ms,22.78083 ms,11.28154 ms,21.83721 ms,33.11875 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,88075.88337 ms,22.89469 ms,1.31200 ms,1.72133 ms²,95% with bounds 22.85323 ms - 22.93615 ms,22.30988 ms,22.44346 ms,22.68775 ms,25.71575 ms,21.90171 ms,47.61746 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (2048bit),3847,24217.45378 ms,6.29515 ms,1.35900 ms,1.84689 ms²,95% with bounds 6.25221 ms - 6.33810 ms,5.80854 ms,5.81638 ms,5.83463 ms,14.27529 ms,5.66600 ms,19.94129 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (2048bit),3847,24025.22649 ms,6.24518 ms,1.43174 ms,2.04988 ms²,95% with bounds 6.19994 ms - 6.29043 ms,5.80533 ms,5.81150 ms,5.82529 ms,35.29513 ms,5.73788 ms,41.03300 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (2048bit),3847,23268.64877 ms,6.04852 ms,0.68305 ms,0.46656 ms²,95% with bounds 6.02693 ms - 6.07010 ms,5.80671 ms,5.81442 ms,5.86492 ms,8.03696 ms,5.60508 ms,13.64204 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (2048bit),3847,23527.35175 ms,6.11577 ms,0.83822 ms,0.70261 ms²,95% with bounds 6.08928 ms - 6.14225 ms,5.80804 ms,5.82300 ms,5.96350 ms,24.75138 ms,5.57613 ms,30.32750 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (2048bit),3847,31116.05236 ms,8.08839 ms,2.40681 ms,5.79275 ms²,95% with bounds 8.01234 ms - 8.16445 ms,5.83375 ms,7.08050 ms,10.31288 ms,11.51325 ms,5.69467 ms,17.20792 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (2048bit),3847,33521.67960 ms,8.71372 ms,2.36527 ms,5.59452 ms²,95% with bounds 8.63898 ms - 8.78846 ms,5.85675 ms,9.43021 ms,10.79529 ms,20.15792 ms,5.66688 ms,25.82479 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (2048bit),3847,23562.75911 ms,6.12497 ms,0.59029 ms,0.34845 ms²,95% with bounds 6.10632 ms - 6.14362 ms,5.79171 ms,5.84521 ms,6.31038 ms,6.57133 ms,5.55508 ms,12.12642 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (2048bit),3847,23185.26052 ms,6.02684 ms,0.52548 ms,0.27613 ms²,95% with bounds 6.01024 ms - 6.04345 ms,5.78763 ms,5.80704 ms,6.01171 ms,4.19604 ms,5.58571 ms,9.78175 ms,
