Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,12360.20507 ms,3.21295 ms,0.43688 ms,0.19086 ms²,95% with bounds 3.19914 ms - 3.22675 ms,3.04142 ms,3.05442 ms,3.13625 ms,15.32813 ms,3.02050 ms,18.34863 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,12309.57280 ms,3.19978 ms,0.43425 ms,0.18858 ms²,95% with bounds 3.18606 ms - 3.21351 ms,3.03496 ms,3.04775 ms,3.11233 ms,15.10000 ms,2.99213 ms,18.09213 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (1024bit),3847,3454.33736 ms,0.89793 ms,0.30705 ms,0.09428 ms²,95% with bounds 0.88823 ms - 0.90763 ms,0.80258 ms,0.80375 ms,0.81475 ms,6.88421 ms,0.77908 ms,7.66329 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (1024bit),3847,3351.32969 ms,0.87115 ms,0.28556 ms,0.08154 ms²,95% with bounds 0.86213 ms - 0.88018 ms,0.80229 ms,0.80313 ms,0.80538 ms,6.81421 ms,0.79446 ms,7.60867 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (1024bit),3847,3137.56072 ms,0.81559 ms,0.11375 ms,0.01294 ms²,95% with bounds 0.81199 ms - 0.81918 ms,0.80204 ms,0.80275 ms,0.80413 ms,3.74258 ms,0.76763 ms,4.51021 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (1024bit),3847,3142.31266 ms,0.81682 ms,0.11886 ms,0.01413 ms²,95% with bounds 0.81307 ms - 0.82058 ms,0.80204 ms,0.80296 ms,0.80525 ms,3.67663 ms,0.76929 ms,4.44592 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (1024bit),3847,3983.86380 ms,1.03558 ms,0.45253 ms,0.20478 ms²,95% with bounds 1.02128 ms - 1.04988 ms,0.79367 ms,0.79792 ms,1.23363 ms,6.44908 ms,0.77271 ms,7.22179 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (1024bit),3847,4442.47688 ms,1.15479 ms,0.47014 ms,0.22103 ms²,95% with bounds 1.13993 ms - 1.16965 ms,0.79429 ms,0.90275 ms,1.38596 ms,6.27900 ms,0.76992 ms,7.04892 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (1024bit),3847,3081.04226 ms,0.80089 ms,0.09818 ms,0.00964 ms²,95% with bounds 0.79779 ms - 0.80400 ms,0.78525 ms,0.79358 ms,0.79792 ms,4.00133 ms,0.75942 ms,4.76075 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (1024bit),3847,3065.32076 ms,0.79681 ms,0.08804 ms,0.00775 ms²,95% with bounds 0.79403 ms - 0.79959 ms,0.78117 ms,0.79275 ms,0.79592 ms,3.49146 ms,0.75971 ms,4.25117 ms,
