Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,296306.25244 ms,77.02268 ms,3.19379 ms,10.20030 ms²,95% with bounds 76.92176 ms - 77.12360 ms,74.37396 ms,75.73354 ms,79.35575 ms,36.13004 ms,73.26321 ms,109.39325 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,296639.26064 ms,77.10924 ms,3.18941 ms,10.17234 ms²,95% with bounds 77.00846 ms - 77.21003 ms,74.38850 ms,75.87250 ms,79.50800 ms,32.56900 ms,73.25621 ms,105.82521 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (3072bit),3847,84420.43423 ms,21.94449 ms,3.25507 ms,10.59550 ms²,95% with bounds 21.84162 ms - 22.04735 ms,19.11221 ms,20.53608 ms,24.55863 ms,20.76429 ms,18.56113 ms,39.32542 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (3072bit),3847,82400.89174 ms,21.41952 ms,3.22146 ms,10.37778 ms²,95% with bounds 21.31772 ms - 21.52132 ms,19.03471 ms,19.45213 ms,23.71388 ms,32.74246 ms,18.57579 ms,51.31825 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (3072bit),3847,79602.19070 ms,20.69202 ms,2.77829 ms,7.71890 ms²,95% with bounds 20.60422 ms - 20.77981 ms,19.06058 ms,19.11979 ms,21.20788 ms,19.01275 ms,18.56308 ms,37.57583 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (3072bit),3847,78031.66703 ms,20.28377 ms,2.46433 ms,6.07293 ms²,95% with bounds 20.20590 ms - 20.36164 ms,19.05408 ms,19.09392 ms,20.09071 ms,23.70913 ms,18.49196 ms,42.20108 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (3072bit),3847,96534.66416 ms,25.09349 ms,4.77897 ms,22.83855 ms²,95% with bounds 24.94248 ms - 25.24451 ms,20.42575 ms,25.48513 ms,28.01608 ms,36.83583 ms,18.73254 ms,55.56838 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (3072bit),3847,101976.94084 ms,26.50817 ms,4.61972 ms,21.34185 ms²,95% with bounds 26.36219 ms - 26.65416 ms,22.84925 ms,26.46979 ms,29.35967 ms,38.98429 ms,18.85371 ms,57.83800 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (3072bit),3847,89083.67929 ms,23.15666 ms,3.11272 ms,9.68900 ms²,95% with bounds 23.05830 ms - 23.25502 ms,21.04308 ms,22.51788 ms,24.88388 ms,19.13483 ms,18.51896 ms,37.65379 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (3072bit),3847,84593.52247 ms,21.98948 ms,2.77411 ms,7.69567 ms²,95% with bounds 21.90182 ms - 22.07714 ms,19.25813 ms,22.03479 ms,23.38508 ms,32.34371 ms,18.38225 ms,50.72596 ms,
