Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,169935.19686 ms,44.17343 ms,1.84724 ms,3.41228 ms²,95% with bounds 44.11506 ms - 44.23181 ms,43.22571 ms,43.40458 ms,44.30425 ms,15.43700 ms,42.42633 ms,57.86333 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,169921.92543 ms,44.16998 ms,2.01151 ms,4.04618 ms²,95% with bounds 44.10642 ms - 44.23355 ms,43.18446 ms,43.34983 ms,44.27850 ms,28.36283 ms,42.00542 ms,70.36825 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (2560bit),3847,46198.25162 ms,12.00890 ms,1.98786 ms,3.95159 ms²,95% with bounds 11.94609 ms - 12.07172 ms,11.07296 ms,11.09358 ms,11.90650 ms,18.17513 ms,10.77775 ms,28.95288 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (2560bit),3847,45697.33293 ms,11.87869 ms,1.87974 ms,3.53343 ms²,95% with bounds 11.81929 ms - 11.93809 ms,11.06913 ms,11.08858 ms,11.64438 ms,16.92000 ms,10.78438 ms,27.70438 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (2560bit),3847,45492.36744 ms,11.82541 ms,1.61004 ms,2.59223 ms²,95% with bounds 11.77454 ms - 11.87629 ms,11.07596 ms,11.10146 ms,11.73858 ms,20.39979 ms,10.80600 ms,31.20579 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (2560bit),3847,44978.71718 ms,11.69189 ms,1.49972 ms,2.24916 ms²,95% with bounds 11.64450 ms - 11.73929 ms,11.07271 ms,11.08863 ms,11.43333 ms,15.66908 ms,10.83467 ms,26.50375 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (2560bit),3847,59009.80406 ms,15.33917 ms,3.92526 ms,15.40767 ms²,95% with bounds 15.21514 ms - 15.46321 ms,11.25092 ms,14.43013 ms,18.92900 ms,17.62775 ms,11.06871 ms,28.69646 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (2560bit),3847,62254.31009 ms,16.18256 ms,3.72545 ms,13.87895 ms²,95% with bounds 16.06484 ms - 16.30028 ms,12.47021 ms,16.59179 ms,19.53071 ms,17.07046 ms,11.03833 ms,28.10879 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (2560bit),3847,51082.81012 ms,13.27861 ms,1.91544 ms,3.66892 ms²,95% with bounds 13.21808 ms - 13.33914 ms,11.28621 ms,13.13592 ms,14.64883 ms,8.90063 ms,10.72979 ms,19.63042 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (2560bit),3847,48671.21057 ms,12.65173 ms,1.87752 ms,3.52508 ms²,95% with bounds 12.59240 ms - 12.71106 ms,11.12317 ms,11.67671 ms,14.36733 ms,10.32212 ms,10.72242 ms,21.04454 ms,
