Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,116477.05804 ms,30.27737 ms,32.03323 ms,1026.12814 ms²,95% with bounds 29.26512 ms - 31.28962 ms,3.03117 ms,22.38642 ms,50.94454 ms,137.01371 ms,0.42096 ms,137.43467 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,115630.60308 ms,30.05734 ms,31.65295 ms,1001.90939 ms²,95% with bounds 29.05711 ms - 31.05758 ms,3.03233 ms,22.36142 ms,50.44204 ms,117.87071 ms,0.42179 ms,118.29250 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (2048bit),3847,116203.62697 ms,30.20630 ms,31.90966 ms,1018.22637 ms²,95% with bounds 29.19795 ms - 31.21464 ms,3.03188 ms,22.40979 ms,50.50563 ms,130.77621 ms,0.42279 ms,131.19900 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (2048bit),3847,116029.59923 ms,30.16106 ms,31.84316 ms,1013.98705 ms²,95% with bounds 29.15482 ms - 31.16730 ms,3.03175 ms,22.14871 ms,50.50817 ms,117.88046 ms,0.42267 ms,118.30313 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (2048bit),3847,116632.21012 ms,30.31770 ms,32.29462 ms,1042.94253 ms²,95% with bounds 29.29719 ms - 31.33821 ms,3.03133 ms,17.67000 ms,50.82550 ms,163.76354 ms,0.42146 ms,164.18500 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (2048bit),3847,115964.05449 ms,30.14402 ms,31.82126 ms,1012.59251 ms²,95% with bounds 29.13847 ms - 31.14957 ms,3.03350 ms,19.80613 ms,50.36192 ms,126.57013 ms,0.42188 ms,126.99200 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (2048bit),3847,115296.34676 ms,29.97046 ms,31.70262 ms,1005.05589 ms²,95% with bounds 28.96865 ms - 30.97226 ms,3.03254 ms,17.72296 ms,49.96438 ms,120.12150 ms,0.42208 ms,120.54358 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (2048bit),3847,115307.76742 ms,29.97343 ms,31.69619 ms,1004.64876 ms²,95% with bounds 28.97183 ms - 30.97502 ms,3.03400 ms,18.13317 ms,50.40213 ms,115.79379 ms,0.42104 ms,116.21483 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (2048bit),3847,116152.32253 ms,30.19296 ms,31.95081 ms,1020.85413 ms²,95% with bounds 29.18332 ms - 31.20261 ms,3.03575 ms,19.52125 ms,50.71421 ms,141.55213 ms,0.42121 ms,141.97333 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (2048bit),3847,115948.15903 ms,30.13989 ms,31.96615 ms,1021.83485 ms²,95% with bounds 29.12976 ms - 31.15002 ms,3.03442 ms,22.40546 ms,50.63800 ms,168.05567 ms,0.42238 ms,168.47804 ms,
