Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,115989.71794 ms,30.15069 ms,31.76533 ms,1009.03590 ms²,95% with bounds 29.14691 ms - 31.15448 ms,3.03417 ms,22.40783 ms,50.84492 ms,129.18425 ms,0.42079 ms,129.60504 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,115650.89943 ms,30.06262 ms,31.63348 ms,1000.67682 ms²,95% with bounds 29.06300 ms - 31.06224 ms,3.03467 ms,22.40542 ms,50.31250 ms,122.30113 ms,0.42146 ms,122.72258 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (2560bit),3847,116573.86325 ms,30.30254 ms,32.12846 ms,1032.23770 ms²,95% with bounds 29.28728 ms - 31.31780 ms,3.03404 ms,22.36004 ms,50.47217 ms,130.90871 ms,0.42379 ms,131.33250 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (2560bit),3847,115782.84073 ms,30.09692 ms,31.79148 ms,1010.69826 ms²,95% with bounds 29.09231 ms - 31.10153 ms,3.03521 ms,17.52829 ms,50.54267 ms,137.77763 ms,0.42088 ms,138.19850 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (2560bit),3847,115534.41875 ms,30.03234 ms,31.74501 ms,1007.74593 ms²,95% with bounds 29.02920 ms - 31.03548 ms,3.03488 ms,19.59029 ms,50.11175 ms,132.19042 ms,0.42196 ms,132.61238 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (2560bit),3847,115333.49845 ms,29.98011 ms,31.62940 ms,1000.41918 ms²,95% with bounds 28.98063 ms - 30.97960 ms,3.03408 ms,17.93683 ms,50.60075 ms,128.66463 ms,0.42271 ms,129.08733 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (2560bit),3847,115767.11848 ms,30.09283 ms,31.86566 ms,1015.42033 ms²,95% with bounds 29.08588 ms - 31.09979 ms,3.03467 ms,17.96204 ms,50.62421 ms,113.48308 ms,0.42596 ms,113.90904 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (2560bit),3847,115933.87066 ms,30.13618 ms,31.80781 ms,1011.73649 ms²,95% with bounds 29.13105 ms - 31.14130 ms,3.03429 ms,22.16242 ms,50.28967 ms,119.85496 ms,0.42133 ms,120.27629 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (2560bit),3847,116307.03245 ms,30.23318 ms,32.00628 ms,1024.40179 ms²,95% with bounds 29.22178 ms - 31.24458 ms,3.03388 ms,22.34100 ms,51.16583 ms,135.87683 ms,0.42204 ms,136.29888 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (2560bit),3847,115746.46795 ms,30.08746 ms,31.66297 ms,1002.54369 ms²,95% with bounds 29.08691 ms - 31.08801 ms,3.03533 ms,22.40604 ms,50.66075 ms,141.37508 ms,0.42517 ms,141.80025 ms,
