Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,38486.02661 ms,10.00417 ms,0.72094 ms,0.51975 ms²,95% with bounds 9.98138 ms - 10.02695 ms,9.62929 ms,9.70171 ms,9.93058 ms,8.11871 ms,9.44650 ms,17.56521 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,38404.63349 ms,9.98301 ms,0.71029 ms,0.50451 ms²,95% with bounds 9.96056 ms - 10.00545 ms,9.61963 ms,9.69317 ms,9.89058 ms,8.84187 ms,9.42796 ms,18.26983 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (1536bit),3847,10559.97723 ms,2.74499 ms,0.65171 ms,0.42472 ms²,95% with bounds 2.72440 ms - 2.76558 ms,2.51746 ms,2.52008 ms,2.53367 ms,5.67433 ms,2.46408 ms,8.13842 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (1536bit),3847,10352.14080 ms,2.69096 ms,0.60061 ms,0.36073 ms²,95% with bounds 2.67199 ms - 2.70994 ms,2.51754 ms,2.51988 ms,2.52300 ms,5.94338 ms,2.44158 ms,8.38496 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (1536bit),3847,9869.79314 ms,2.56558 ms,0.26480 ms,0.07012 ms²,95% with bounds 2.55721 ms - 2.57395 ms,2.51646 ms,2.51771 ms,2.51992 ms,5.75088 ms,2.43788 ms,8.18875 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (1536bit),3847,9896.49390 ms,2.57252 ms,0.25284 ms,0.06393 ms²,95% with bounds 2.56453 ms - 2.58051 ms,2.51654 ms,2.51792 ms,2.52092 ms,3.44142 ms,2.44167 ms,5.88308 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (1536bit),3847,13454.99051 ms,3.49753 ms,1.18705 ms,1.40910 ms²,95% with bounds 3.46002 ms - 3.53504 ms,2.52929 ms,2.60992 ms,4.52546 ms,6.01850 ms,2.44896 ms,8.46746 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (1536bit),3847,14259.50291 ms,3.70666 ms,1.14678 ms,1.31509 ms²,95% with bounds 3.67042 ms - 3.74289 ms,2.52825 ms,3.69283 ms,4.75942 ms,6.62200 ms,2.48496 ms,9.10696 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (1536bit),3847,9832.45230 ms,2.55588 ms,0.18170 ms,0.03302 ms²,95% with bounds 2.55013 ms - 2.56162 ms,2.51892 ms,2.52438 ms,2.54346 ms,5.48925 ms,2.42392 ms,7.91317 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (1536bit),3847,9764.40055 ms,2.53819 ms,0.11865 ms,0.01408 ms²,95% with bounds 2.53444 ms - 2.54194 ms,2.50754 ms,2.52371 ms,2.53454 ms,2.56504 ms,2.41796 ms,4.98300 ms,
