Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,12091.17808 ms,3.14301 ms,0.37064 ms,0.13738 ms²,95% with bounds 3.13130 ms - 3.15473 ms,3.03342 ms,3.04621 ms,3.07179 ms,6.44342 ms,2.95983 ms,9.40325 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,12082.67874 ms,3.14081 ms,0.36991 ms,0.13684 ms²,95% with bounds 3.12912 ms - 3.15249 ms,3.03175 ms,3.04371 ms,3.06725 ms,5.89404 ms,2.96304 ms,8.85708 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (1024bit),3847,3266.91674 ms,0.84921 ms,0.20991 ms,0.04406 ms²,95% with bounds 0.84258 ms - 0.85584 ms,0.80125 ms,0.80263 ms,0.81292 ms,3.99717 ms,0.77304 ms,4.77021 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (1024bit),3847,3239.77259 ms,0.84216 ms,0.20507 ms,0.04205 ms²,95% with bounds 0.83568 ms - 0.84864 ms,0.80100 ms,0.80171 ms,0.80408 ms,4.53379 ms,0.77088 ms,5.30467 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (1024bit),3847,3106.91918 ms,0.80762 ms,0.14177 ms,0.02010 ms²,95% with bounds 0.80314 ms - 0.81210 ms,0.80033 ms,0.80113 ms,0.80217 ms,5.85717 ms,0.76929 ms,6.62646 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (1024bit),3847,3108.85283 ms,0.80812 ms,0.11132 ms,0.01239 ms²,95% with bounds 0.80461 ms - 0.81164 ms,0.80058 ms,0.80125 ms,0.80225 ms,2.14508 ms,0.77000 ms,2.91508 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (1024bit),3847,3250.06587 ms,0.84483 ms,0.21679 ms,0.04700 ms²,95% with bounds 0.83798 ms - 0.85168 ms,0.79225 ms,0.79271 ms,0.79388 ms,4.47800 ms,0.77954 ms,5.25754 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (1024bit),3847,3373.83022 ms,0.87700 ms,0.25016 ms,0.06258 ms²,95% with bounds 0.86910 ms - 0.88491 ms,0.79221 ms,0.79275 ms,0.79850 ms,3.68646 ms,0.76100 ms,4.44746 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (1024bit),3847,3041.46740 ms,0.79061 ms,0.06410 ms,0.00411 ms²,95% with bounds 0.78858 ms - 0.79263 ms,0.77529 ms,0.78608 ms,0.79542 ms,1.76292 ms,0.74654 ms,2.50946 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (1024bit),3847,3047.32009 ms,0.79213 ms,0.07885 ms,0.00622 ms²,95% with bounds 0.78964 ms - 0.79462 ms,0.77417 ms,0.78475 ms,0.79683 ms,2.01746 ms,0.74863 ms,2.76608 ms,
