Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,86729.04912 ms,22.54459 ms,0.99766 ms,0.99533 ms²,95% with bounds 22.51307 ms - 22.57612 ms,22.10546 ms,22.16746 ms,22.29513 ms,20.34475 ms,21.67038 ms,42.01513 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,86478.65081 ms,22.47950 ms,0.94668 ms,0.89620 ms²,95% with bounds 22.44959 ms - 22.50942 ms,22.04025 ms,22.09213 ms,22.23721 ms,9.65617 ms,21.60875 ms,31.26492 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (2048bit),3847,23568.56889 ms,6.12648 ms,0.89830 ms,0.80694 ms²,95% with bounds 6.09809 ms - 6.15487 ms,5.79229 ms,5.79975 ms,5.81546 ms,6.60117 ms,5.65004 ms,12.25121 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (2048bit),3847,23506.93994 ms,6.11046 ms,0.89671 ms,0.80409 ms²,95% with bounds 6.08212 ms - 6.13880 ms,5.79088 ms,5.79563 ms,5.80767 ms,7.41688 ms,5.62392 ms,13.04079 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (2048bit),3847,22940.43005 ms,5.96320 ms,0.51409 ms,0.26429 ms²,95% with bounds 5.94695 ms - 5.97945 ms,5.79396 ms,5.80517 ms,5.85058 ms,6.71479 ms,5.59104 ms,12.30583 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (2048bit),3847,22638.16787 ms,5.88463 ms,0.36970 ms,0.13668 ms²,95% with bounds 5.87295 ms - 5.89631 ms,5.79200 ms,5.79613 ms,5.80625 ms,5.06275 ms,5.59238 ms,10.65513 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (2048bit),3847,23508.71439 ms,6.11092 ms,1.06869 ms,1.14210 ms²,95% with bounds 6.07715 ms - 6.14469 ms,5.79600 ms,5.79946 ms,5.80538 ms,8.41121 ms,5.65317 ms,14.06438 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (2048bit),3847,32738.83044 ms,8.51022 ms,1.60698 ms,2.58237 ms²,95% with bounds 8.45944 ms - 8.56100 ms,7.11367 ms,9.35804 ms,9.64050 ms,8.62363 ms,5.66679 ms,14.29042 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (2048bit),3847,22973.66314 ms,5.97184 ms,0.36749 ms,0.13505 ms²,95% with bounds 5.96023 ms - 5.98345 ms,5.79392 ms,5.84183 ms,6.05367 ms,5.07046 ms,5.55875 ms,10.62921 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (2048bit),3847,23078.84076 ms,5.99918 ms,0.48428 ms,0.23453 ms²,95% with bounds 5.98388 ms - 6.01448 ms,5.79921 ms,5.81863 ms,5.90775 ms,4.87288 ms,5.53375 ms,10.40663 ms,
