Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,166964.01566 ms,43.40110 ms,1.78770 ms,3.19589 ms²,95% with bounds 43.34460 ms - 43.45759 ms,42.32921 ms,42.54483 ms,43.78004 ms,18.73504 ms,41.50908 ms,60.24413 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,166977.10477 ms,43.40450 ms,1.80758 ms,3.26736 ms²,95% with bounds 43.34738 ms - 43.46162 ms,42.32650 ms,42.54958 ms,43.72804 ms,16.22946 ms,41.33225 ms,57.56171 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (2560bit),3847,46238.80486 ms,12.01944 ms,1.74923 ms,3.05980 ms²,95% with bounds 11.96417 ms - 12.07472 ms,11.06104 ms,11.21483 ms,11.99758 ms,26.92771 ms,10.64492 ms,37.57263 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (2560bit),3847,44934.87601 ms,11.68050 ms,1.37762 ms,1.89784 ms²,95% with bounds 11.63697 ms - 11.72403 ms,11.04392 ms,11.10175 ms,11.66979 ms,13.99221 ms,10.73888 ms,24.73108 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (2560bit),3847,43896.27344 ms,11.41052 ms,0.93217 ms,0.86894 ms²,95% with bounds 11.38106 ms - 11.43998 ms,11.04304 ms,11.05863 ms,11.37525 ms,10.62117 ms,10.73017 ms,21.35133 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (2560bit),3847,43591.86995 ms,11.33139 ms,0.90508 ms,0.81918 ms²,95% with bounds 11.30279 ms - 11.35999 ms,11.03996 ms,11.04817 ms,11.14654 ms,9.00083 ms,10.71758 ms,19.71842 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (2560bit),3847,44534.87892 ms,11.57652 ms,1.74601 ms,3.04854 ms²,95% with bounds 11.52135 ms - 11.63170 ms,11.04567 ms,11.05083 ms,11.09825 ms,16.66925 ms,10.70621 ms,27.37546 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (2560bit),3847,59489.24717 ms,15.46380 ms,2.65456 ms,7.04669 ms²,95% with bounds 15.37992 ms - 15.54769 ms,13.03546 ms,15.92725 ms,17.68492 ms,14.11558 ms,10.72654 ms,24.84213 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (2560bit),3847,49624.27619 ms,12.89947 ms,1.48181 ms,2.19575 ms²,95% with bounds 12.85265 ms - 12.94630 ms,11.33158 ms,12.88388 ms,14.20288 ms,7.40663 ms,10.67579 ms,18.08242 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (2560bit),3847,47462.74155 ms,12.33760 ms,1.53200 ms,2.34703 ms²,95% with bounds 12.28919 ms - 12.38601 ms,11.14038 ms,11.53213 ms,13.56283 ms,10.44763 ms,10.67229 ms,21.11992 ms,
