Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,110321.68650 ms,28.67733 ms,29.93431 ms,896.06297 ms²,95% with bounds 27.73141 ms - 29.62325 ms,3.02963 ms,16.44254 ms,48.26846 ms,118.20487 ms,0.42004 ms,118.62492 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,110200.54899 ms,28.64584 ms,29.93378 ms,896.03107 ms²,95% with bounds 27.69993 ms - 29.59175 ms,3.03108 ms,22.34238 ms,48.91100 ms,119.88396 ms,0.42188 ms,120.30583 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (1536bit),3847,110225.31316 ms,28.65228 ms,29.85024 ms,891.03667 ms²,95% with bounds 27.70901 ms - 29.59555 ms,3.03042 ms,22.32021 ms,49.02946 ms,118.81058 ms,0.42017 ms,119.23075 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (1536bit),3847,110561.15986 ms,28.73958 ms,29.92107 ms,895.27062 ms²,95% with bounds 27.79407 ms - 29.68508 ms,3.02975 ms,22.34567 ms,49.14721 ms,119.60792 ms,0.42017 ms,120.02808 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (1536bit),3847,110381.43149 ms,28.69286 ms,29.88987 ms,893.40455 ms²,95% with bounds 27.74834 ms - 29.63738 ms,3.03096 ms,22.35800 ms,48.67383 ms,115.98096 ms,0.42092 ms,116.40188 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (1536bit),3847,110702.23466 ms,28.77625 ms,30.06539 ms,903.92757 ms²,95% with bounds 27.82618 ms - 29.72632 ms,3.02946 ms,22.33517 ms,49.27125 ms,118.15325 ms,0.42158 ms,118.57483 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (1536bit),3847,109857.49635 ms,28.55667 ms,29.76722 ms,886.08719 ms²,95% with bounds 27.61602 ms - 29.49731 ms,3.02992 ms,17.17283 ms,48.01233 ms,117.07196 ms,0.42225 ms,117.49421 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (1536bit),3847,110124.38302 ms,28.62604 ms,29.95316 ms,897.19185 ms²,95% with bounds 27.67952 ms - 29.57256 ms,3.02988 ms,16.39883 ms,48.14942 ms,114.91792 ms,0.42121 ms,115.33913 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (1536bit),3847,109931.81950 ms,28.57599 ms,29.87846 ms,892.72208 ms²,95% with bounds 27.63183 ms - 29.52015 ms,3.03271 ms,17.26571 ms,48.33325 ms,119.30367 ms,0.42071 ms,119.72438 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (1536bit),3847,110106.94367 ms,28.62151 ms,29.94720 ms,896.83496 ms²,95% with bounds 27.67518 ms - 29.56784 ms,3.03063 ms,16.25713 ms,48.76879 ms,118.06529 ms,0.42054 ms,118.48583 ms,
