Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,109972.83880 ms,28.58665 ms,30.00069 ms,900.04165 ms²,95% with bounds 27.63863 ms - 29.53467 ms,3.02954 ms,16.49800 ms,48.07175 ms,117.14479 ms,0.42004 ms,117.56483 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,110061.61781 ms,28.60973 ms,29.84506 ms,890.72735 ms²,95% with bounds 27.66662 ms - 29.55283 ms,3.02971 ms,16.94267 ms,49.11758 ms,113.18492 ms,0.42192 ms,113.60683 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (1024bit),3847,110013.37931 ms,28.59719 ms,29.91819 ms,895.09784 ms²,95% with bounds 27.65177 ms - 29.54260 ms,3.02925 ms,16.70404 ms,48.28713 ms,120.78429 ms,0.42017 ms,121.20446 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (1024bit),3847,110060.12188 ms,28.60934 ms,29.83559 ms,890.16264 ms²,95% with bounds 27.66653 ms - 29.55214 ms,3.02958 ms,22.35850 ms,48.37633 ms,117.02271 ms,0.42058 ms,117.44329 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (1024bit),3847,111094.19188 ms,28.87814 ms,30.13503 ms,908.12018 ms²,95% with bounds 27.92587 ms - 29.83040 ms,3.03025 ms,22.36338 ms,49.09804 ms,120.43363 ms,0.42225 ms,120.85588 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (1024bit),3847,110479.97933 ms,28.71848 ms,29.88422 ms,893.06657 ms²,95% with bounds 27.77414 ms - 29.66282 ms,3.03025 ms,22.34758 ms,49.25629 ms,118.10175 ms,0.42088 ms,118.52263 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (1024bit),3847,110568.49748 ms,28.74149 ms,30.01961 ms,901.17693 ms²,95% with bounds 27.79287 ms - 29.69011 ms,3.02946 ms,22.36100 ms,48.79125 ms,116.55067 ms,0.42200 ms,116.97267 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (1024bit),3847,110242.50843 ms,28.65675 ms,29.95097 ms,897.06039 ms²,95% with bounds 27.71030 ms - 29.60320 ms,3.02988 ms,18.61592 ms,48.92708 ms,115.71983 ms,0.42083 ms,116.14067 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (1024bit),3847,110287.36276 ms,28.66841 ms,29.93387 ms,896.03658 ms²,95% with bounds 27.72250 ms - 29.61432 ms,3.03029 ms,16.65667 ms,49.09900 ms,119.49917 ms,0.42050 ms,119.91967 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (1024bit),3847,110282.18761 ms,28.66706 ms,30.00599 ms,900.35971 ms²,95% with bounds 27.71887 ms - 29.61525 ms,3.03092 ms,18.53500 ms,48.56375 ms,118.34017 ms,0.42033 ms,118.76050 ms,
