Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,109918.01615 ms,28.57240 ms,29.89476 ms,893.69689 ms²,95% with bounds 27.62772 ms - 29.51707 ms,3.03296 ms,15.75017 ms,48.91263 ms,112.11896 ms,0.42392 ms,112.54288 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,110907.96454 ms,28.82973 ms,30.47129 ms,928.49944 ms²,95% with bounds 27.86684 ms - 29.79262 ms,3.03263 ms,16.67558 ms,48.26813 ms,134.33450 ms,0.42238 ms,134.75688 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (512bit),3847,109588.40520 ms,28.48672 ms,29.77452 ms,886.52205 ms²,95% with bounds 27.54584 ms - 29.42759 ms,3.03025 ms,16.26104 ms,48.64613 ms,116.06842 ms,0.42279 ms,116.49121 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (512bit),3847,110204.15298 ms,28.64678 ms,30.02887 ms,901.73284 ms²,95% with bounds 27.69787 ms - 29.59569 ms,3.03117 ms,16.13558 ms,48.55233 ms,119.04467 ms,0.42188 ms,119.46654 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (512bit),3847,109878.15089 ms,28.56204 ms,29.79504 ms,887.74451 ms²,95% with bounds 27.62051 ms - 29.50356 ms,3.03033 ms,22.35275 ms,48.37546 ms,118.70113 ms,0.42242 ms,119.12354 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (512bit),3847,110069.65281 ms,28.61182 ms,29.80422 ms,888.29147 ms²,95% with bounds 27.67000 ms - 29.55363 ms,3.02992 ms,22.33621 ms,49.05088 ms,112.87113 ms,0.42054 ms,113.29167 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (512bit),3847,110326.12610 ms,28.67848 ms,29.88202 ms,892.93530 ms²,95% with bounds 27.73421 ms - 29.62276 ms,3.03008 ms,22.35788 ms,48.50125 ms,116.58913 ms,0.42217 ms,117.01129 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (512bit),3847,110547.24893 ms,28.73596 ms,29.99306 ms,899.58361 ms²,95% with bounds 27.78818 ms - 29.68374 ms,3.03021 ms,22.35542 ms,48.76504 ms,118.87913 ms,0.42067 ms,119.29979 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (512bit),3847,110243.60563 ms,28.65703 ms,29.95324 ms,897.19639 ms²,95% with bounds 27.71051 ms - 29.60356 ms,3.02975 ms,21.94179 ms,48.49229 ms,118.13525 ms,0.42096 ms,118.55621 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (512bit),3847,110187.74684 ms,28.64251 ms,29.97679 ms,898.60774 ms²,95% with bounds 27.69525 ms - 29.58978 ms,3.02904 ms,16.35033 ms,48.89696 ms,117.94567 ms,0.42067 ms,118.36633 ms,
