Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,116236.82259 ms,30.21493 ms,32.09446 ms,1030.05420 ms²,95% with bounds 29.20074 ms - 31.22911 ms,3.04133 ms,18.75242 ms,50.54579 ms,131.57967 ms,0.42029 ms,131.99996 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,116091.33731 ms,30.17711 ms,31.98667 ms,1023.14683 ms²,95% with bounds 29.16633 ms - 31.18789 ms,3.04117 ms,22.12917 ms,50.65667 ms,137.06858 ms,0.42113 ms,137.48971 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (1536bit),3847,116789.78062 ms,30.35866 ms,32.18138 ms,1035.64090 ms²,95% with bounds 29.34173 ms - 31.37560 ms,3.04146 ms,22.30500 ms,50.86983 ms,132.09050 ms,0.42083 ms,132.51133 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (1536bit),3847,116128.29878 ms,30.18672 ms,31.86440 ms,1015.33976 ms²,95% with bounds 29.17980 ms - 31.19363 ms,3.04163 ms,22.36967 ms,50.54138 ms,119.46875 ms,0.42208 ms,119.89083 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (1536bit),3847,116192.64720 ms,30.20344 ms,31.88059 ms,1016.37201 ms²,95% with bounds 29.19602 ms - 31.21087 ms,3.04117 ms,22.34517 ms,50.53538 ms,117.79113 ms,0.42088 ms,118.21200 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (1536bit),3847,116115.62410 ms,30.18342 ms,31.95265 ms,1020.97158 ms²,95% with bounds 29.17372 ms - 31.19313 ms,3.04208 ms,22.05125 ms,50.52938 ms,121.72083 ms,0.42221 ms,122.14304 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (1536bit),3847,115943.27865 ms,30.13862 ms,31.89541 ms,1017.31738 ms²,95% with bounds 29.13073 ms - 31.14652 ms,3.03829 ms,18.60038 ms,50.57246 ms,118.69150 ms,0.42171 ms,119.11321 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (1536bit),3847,115814.13980 ms,30.10505 ms,31.84094 ms,1013.84569 ms²,95% with bounds 29.09888 ms - 31.11123 ms,3.04092 ms,18.65296 ms,50.38513 ms,117.08979 ms,0.42117 ms,117.51096 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (1536bit),3847,116890.70472 ms,30.38490 ms,32.31190 ms,1044.05871 ms²,95% with bounds 29.36384 ms - 31.40595 ms,3.04004 ms,18.81733 ms,50.55546 ms,127.54129 ms,0.42038 ms,127.96167 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (1536bit),3847,116465.03940 ms,30.27425 ms,32.19873 ms,1036.75794 ms²,95% with bounds 29.25677 ms - 31.29173 ms,3.03983 ms,18.73963 ms,50.62796 ms,126.09950 ms,0.42171 ms,126.52121 ms,
