Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,116512.07923 ms,30.28648 ms,32.04412 ms,1026.82572 ms²,95% with bounds 29.27388 ms - 31.29907 ms,3.03821 ms,22.35954 ms,50.50963 ms,121.47387 ms,0.42467 ms,121.89854 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,116170.35498 ms,30.19765 ms,31.92776 ms,1019.38205 ms²,95% with bounds 29.18873 ms - 31.20657 ms,3.03925 ms,21.95154 ms,50.63825 ms,125.30467 ms,0.42067 ms,125.72533 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (3072bit),3847,115758.57834 ms,30.09061 ms,31.77451 ms,1009.61942 ms²,95% with bounds 29.08654 ms - 31.09468 ms,3.04004 ms,18.96992 ms,50.57004 ms,126.43862 ms,0.42092 ms,126.85954 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (3072bit),3847,116012.75005 ms,30.15668 ms,31.98999 ms,1023.35943 ms²,95% with bounds 29.14580 ms - 31.16756 ms,3.03688 ms,16.91704 ms,50.56338 ms,121.29050 ms,0.42071 ms,121.71121 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (3072bit),3847,116587.34165 ms,30.30604 ms,32.11491 ms,1031.36765 ms²,95% with bounds 29.29121 ms - 31.32087 ms,3.04046 ms,18.76650 ms,50.88742 ms,121.41104 ms,0.42071 ms,121.83175 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (3072bit),3847,116378.26332 ms,30.25169 ms,31.97029 ms,1022.09942 ms²,95% with bounds 29.24143 ms - 31.26195 ms,3.04017 ms,18.71921 ms,50.98296 ms,124.61304 ms,0.42183 ms,125.03488 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (3072bit),3847,116743.73801 ms,30.34670 ms,32.26150 ms,1040.80423 ms²,95% with bounds 29.32723 ms - 31.36616 ms,3.04188 ms,22.31071 ms,50.94204 ms,126.09325 ms,0.42429 ms,126.51754 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (3072bit),3847,116954.45054 ms,30.40147 ms,32.14297 ms,1033.17067 ms²,95% with bounds 29.38575 ms - 31.41719 ms,3.04058 ms,22.28708 ms,50.97725 ms,124.87150 ms,0.42050 ms,125.29200 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (3072bit),3847,116339.79967 ms,30.24169 ms,31.99116 ms,1023.43414 ms²,95% with bounds 29.23077 ms - 31.25262 ms,3.03933 ms,22.36838 ms,50.85746 ms,124.19608 ms,0.42063 ms,124.61671 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (3072bit),3847,115904.26320 ms,30.12848 ms,31.80150 ms,1011.33530 ms²,95% with bounds 29.12355 ms - 31.13341 ms,3.04004 ms,22.28417 ms,50.71404 ms,116.07783 ms,0.42133 ms,116.49917 ms,
