Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,87069.30656 ms,22.63304 ms,1.03781 ms,1.07705 ms²,95% with bounds 22.60025 ms - 22.66584 ms,22.13238 ms,22.21338 ms,22.52104 ms,10.58179 ms,21.70600 ms,32.28779 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,86990.01265 ms,22.61243 ms,1.06651 ms,1.13744 ms²,95% with bounds 22.57873 ms - 22.64613 ms,22.09963 ms,22.17229 ms,22.49429 ms,10.36425 ms,21.64858 ms,32.01283 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (2048bit),3847,23771.31903 ms,6.17918 ms,0.99827 ms,0.99654 ms²,95% with bounds 6.14764 ms - 6.21073 ms,5.82683 ms,5.83517 ms,5.85096 ms,9.89692 ms,5.69492 ms,15.59183 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (2048bit),3847,23660.88860 ms,6.15048 ms,0.97116 ms,0.94314 ms²,95% with bounds 6.11979 ms - 6.18117 ms,5.82492 ms,5.83113 ms,5.84408 ms,10.16288 ms,5.70300 ms,15.86588 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (2048bit),3847,23102.56946 ms,6.00535 ms,0.53205 ms,0.28308 ms²,95% with bounds 5.98853 ms - 6.02216 ms,5.82883 ms,5.83871 ms,5.88413 ms,6.49604 ms,5.66017 ms,12.15621 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (2048bit),3847,22937.61326 ms,5.96247 ms,0.46246 ms,0.21386 ms²,95% with bounds 5.94785 ms - 5.97708 ms,5.82650 ms,5.83346 ms,5.84975 ms,4.88225 ms,5.65929 ms,10.54154 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (2048bit),3847,25750.75215 ms,6.69372 ms,1.84101 ms,3.38933 ms²,95% with bounds 6.63555 ms - 6.75190 ms,5.81221 ms,5.81938 ms,5.90858 ms,12.44496 ms,5.62375 ms,18.06871 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (2048bit),3847,33206.27034 ms,8.63173 ms,1.82345 ms,3.32497 ms²,95% with bounds 8.57411 ms - 8.68935 ms,6.84346 ms,9.42354 ms,9.78983 ms,8.96242 ms,5.65900 ms,14.62142 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (2048bit),3847,23169.22578 ms,6.02267 ms,0.43214 ms,0.18674 ms²,95% with bounds 6.00902 ms - 6.03633 ms,5.81213 ms,5.85758 ms,6.12238 ms,3.98696 ms,5.59408 ms,9.58104 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (2048bit),3847,23158.21961 ms,6.01981 ms,0.50211 ms,0.25211 ms²,95% with bounds 6.00395 ms - 6.03568 ms,5.81521 ms,5.83392 ms,5.92696 ms,5.33712 ms,5.58733 ms,10.92446 ms,
