Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,37759.70400 ms,9.81536 ms,0.54225 ms,0.29403 ms²,95% with bounds 9.79823 ms - 9.83250 ms,9.55200 ms,9.61004 ms,9.71479 ms,4.68683 ms,9.44379 ms,14.13063 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,37737.59851 ms,9.80962 ms,0.54074 ms,0.29240 ms²,95% with bounds 9.79253 ms - 9.82670 ms,9.54679 ms,9.60417 ms,9.71025 ms,4.66563 ms,9.40750 ms,14.07313 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (1536bit),3847,10436.68964 ms,2.71294 ms,0.54260 ms,0.29441 ms²,95% with bounds 2.69580 ms - 2.73009 ms,2.51475 ms,2.51721 ms,2.53425 ms,6.86563 ms,2.47508 ms,9.34071 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (1536bit),3847,10174.07585 ms,2.64468 ms,0.47277 ms,0.22351 ms²,95% with bounds 2.62974 ms - 2.65962 ms,2.51504 ms,2.51696 ms,2.52029 ms,6.42779 ms,2.41238 ms,8.84017 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (1536bit),3847,9760.07254 ms,2.53706 ms,0.17525 ms,0.03071 ms²,95% with bounds 2.53152 ms - 2.54260 ms,2.51333 ms,2.51479 ms,2.51667 ms,2.61017 ms,2.43263 ms,5.04279 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (1536bit),3847,9756.23639 ms,2.53606 ms,0.16598 ms,0.02755 ms²,95% with bounds 2.53082 ms - 2.54131 ms,2.51329 ms,2.51479 ms,2.51658 ms,2.44567 ms,2.42592 ms,4.87158 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (1536bit),3847,11187.93388 ms,2.90822 ms,0.85190 ms,0.72574 ms²,95% with bounds 2.88130 ms - 2.93514 ms,2.52150 ms,2.52413 ms,2.57004 ms,5.53654 ms,2.45475 ms,7.99129 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (1536bit),3847,13754.44656 ms,3.57537 ms,0.95276 ms,0.90775 ms²,95% with bounds 3.54526 ms - 3.60548 ms,2.54163 ms,3.80704 ms,4.25583 ms,5.46150 ms,2.42054 ms,7.88204 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (1536bit),3847,9697.57726 ms,2.52082 ms,0.09453 ms,0.00894 ms²,95% with bounds 2.51783 ms - 2.52380 ms,2.47742 ms,2.52067 ms,2.53138 ms,2.03404 ms,2.42092 ms,4.45496 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (1536bit),3847,9694.47832 ms,2.52001 ms,0.10390 ms,0.01080 ms²,95% with bounds 2.51673 ms - 2.52329 ms,2.47725 ms,2.52004 ms,2.52833 ms,2.59188 ms,2.41238 ms,5.00425 ms,
