Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,1872.44267 ms,0.48673 ms,0.10859 ms,0.01179 ms²,95% with bounds 0.48330 ms - 0.49016 ms,0.45196 ms,0.46983 ms,0.49917 ms,2.60354 ms,0.43638 ms,3.03992 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,1849.11393 ms,0.48066 ms,0.09571 ms,0.00916 ms²,95% with bounds 0.47764 ms - 0.48369 ms,0.44875 ms,0.46888 ms,0.49183 ms,2.69113 ms,0.42125 ms,3.11238 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (512bit),3847,559.36350 ms,0.14540 ms,0.05592 ms,0.00313 ms²,95% with bounds 0.14364 ms - 0.14717 ms,0.11958 ms,0.13096 ms,0.16288 ms,2.75513 ms,0.11525 ms,2.87038 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (512bit),3847,564.01207 ms,0.14661 ms,0.03382 ms,0.00114 ms²,95% with bounds 0.14554 ms - 0.14768 ms,0.12013 ms,0.14000 ms,0.16321 ms,0.49250 ms,0.11725 ms,0.60975 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (512bit),3847,457.67899 ms,0.11897 ms,0.03049 ms,0.00093 ms²,95% with bounds 0.11801 ms - 0.11993 ms,0.11571 ms,0.11783 ms,0.11983 ms,1.87829 ms,0.11350 ms,1.99179 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (512bit),3847,460.93583 ms,0.11982 ms,0.03906 ms,0.00153 ms²,95% with bounds 0.11858 ms - 0.12105 ms,0.11583 ms,0.11879 ms,0.12029 ms,1.87796 ms,0.11358 ms,1.99154 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (512bit),3847,508.68878 ms,0.13223 ms,0.04959 ms,0.00246 ms²,95% with bounds 0.13066 ms - 0.13380 ms,0.11829 ms,0.11875 ms,0.12021 ms,1.59763 ms,0.11671 ms,1.71433 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (512bit),3847,519.87908 ms,0.13514 ms,0.05442 ms,0.00296 ms²,95% with bounds 0.13342 ms - 0.13686 ms,0.11792 ms,0.11867 ms,0.12792 ms,1.55871 ms,0.11463 ms,1.67333 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (512bit),3847,457.49738 ms,0.11892 ms,0.00528 ms,0.00003 ms²,95% with bounds 0.11876 ms - 0.11909 ms,0.11533 ms,0.11813 ms,0.12025 ms,0.05458 ms,0.11254 ms,0.16713 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (512bit),3847,457.35048 ms,0.11888 ms,0.00545 ms,0.00003 ms²,95% with bounds 0.11871 ms - 0.11906 ms,0.11513 ms,0.11804 ms,0.12025 ms,0.07725 ms,0.11208 ms,0.18933 ms,
