Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,167866.30103 ms,43.63564 ms,1.85700 ms,3.44845 ms²,95% with bounds 43.57696 ms - 43.69432 ms,42.50196 ms,42.94579 ms,43.98908 ms,31.39288 ms,41.58029 ms,72.97317 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,168285.12475 ms,43.74451 ms,1.94417 ms,3.77980 ms²,95% with bounds 43.68307 ms - 43.80594 ms,42.54038 ms,43.01979 ms,44.04804 ms,26.41142 ms,41.58529 ms,67.99671 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (2560bit),3847,46460.59816 ms,12.07710 ms,1.78787 ms,3.19649 ms²,95% with bounds 12.02060 ms - 12.13360 ms,11.08379 ms,11.23142 ms,12.12267 ms,18.27908 ms,10.70650 ms,28.98558 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (2560bit),3847,45409.14741 ms,11.80378 ms,1.57966 ms,2.49532 ms²,95% with bounds 11.75386 ms - 11.85370 ms,11.07333 ms,11.13396 ms,11.75475 ms,20.65767 ms,10.78383 ms,31.44150 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (2560bit),3847,44364.12852 ms,11.53214 ms,1.14470 ms,1.31033 ms²,95% with bounds 11.49596 ms - 11.56831 ms,11.07563 ms,11.09529 ms,11.49996 ms,12.73650 ms,10.67900 ms,23.41550 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (2560bit),3847,43987.82679 ms,11.43432 ms,1.09284 ms,1.19430 ms²,95% with bounds 11.39979 ms - 11.46885 ms,11.07054 ms,11.08521 ms,11.17500 ms,12.21629 ms,10.76629 ms,22.98258 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (2560bit),3847,48400.78529 ms,12.58144 ms,2.98504 ms,8.91047 ms²,95% with bounds 12.48711 ms - 12.67576 ms,11.06642 ms,11.08200 ms,11.98146 ms,18.31238 ms,10.67921 ms,28.99158 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (2560bit),3847,60970.45063 ms,15.84883 ms,2.92521 ms,8.55683 ms²,95% with bounds 15.75639 ms - 15.94127 ms,13.26646 ms,16.27250 ms,17.81254 ms,22.01467 ms,10.66767 ms,32.68233 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (2560bit),3847,50004.75922 ms,12.99838 ms,1.60982 ms,2.59151 ms²,95% with bounds 12.94751 ms - 13.04925 ms,11.34629 ms,12.90821 ms,14.26083 ms,13.53738 ms,10.78146 ms,24.31883 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (2560bit),3847,47768.80942 ms,12.41716 ms,1.63727 ms,2.68065 ms²,95% with bounds 12.36542 ms - 12.46890 ms,11.14521 ms,11.58904 ms,13.63538 ms,10.73671 ms,10.66642 ms,21.40313 ms,
