Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,116078.47770 ms,30.17377 ms,31.75832 ms,1008.59120 ms²,95% with bounds 29.17020 ms - 31.17733 ms,3.03738 ms,22.36863 ms,50.49163 ms,113.46142 ms,0.42138 ms,113.88279 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,116990.35045 ms,30.41080 ms,32.21235 ms,1037.63538 ms²,95% with bounds 29.39289 ms - 31.42871 ms,3.03758 ms,22.36788 ms,50.74483 ms,118.61725 ms,0.42071 ms,119.03796 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (2560bit),3847,116536.81054 ms,30.29291 ms,32.01553 ms,1024.99428 ms²,95% with bounds 29.28122 ms - 31.30460 ms,3.03904 ms,22.31925 ms,50.63663 ms,132.40533 ms,0.42104 ms,132.82638 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (2560bit),3847,115919.61588 ms,30.13247 ms,31.90000 ms,1017.61007 ms²,95% with bounds 29.12443 ms - 31.14051 ms,3.04146 ms,18.56363 ms,50.47029 ms,135.42537 ms,0.42046 ms,135.84583 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (2560bit),3847,116484.06097 ms,30.27919 ms,32.24931 ms,1040.01771 ms²,95% with bounds 29.26012 ms - 31.29827 ms,3.03775 ms,18.66088 ms,50.76404 ms,131.10946 ms,0.42158 ms,131.53104 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (2560bit),3847,115972.49328 ms,30.14622 ms,31.95488 ms,1021.11464 ms²,95% with bounds 29.13644 ms - 31.15599 ms,3.04108 ms,18.51213 ms,50.39558 ms,113.67971 ms,0.42125 ms,114.10096 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (2560bit),3847,116099.31704 ms,30.17918 ms,31.89501 ms,1017.29182 ms²,95% with bounds 29.17130 ms - 31.18707 ms,3.03558 ms,16.33396 ms,50.63783 ms,125.20038 ms,0.42100 ms,125.62138 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (2560bit),3847,116465.23920 ms,30.27430 ms,32.16318 ms,1034.47010 ms²,95% with bounds 29.25795 ms - 31.29066 ms,3.04063 ms,22.36542 ms,50.32792 ms,118.26054 ms,0.42108 ms,118.68163 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (2560bit),3847,115965.67598 ms,30.14444 ms,31.88727 ms,1016.79831 ms²,95% with bounds 29.13681 ms - 31.15208 ms,3.03846 ms,22.37242 ms,50.15238 ms,120.87567 ms,0.42154 ms,121.29721 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (2560bit),3847,116672.58717 ms,30.32820 ms,32.06330 ms,1028.05513 ms²,95% with bounds 29.31500 ms - 31.34140 ms,3.03950 ms,22.36550 ms,50.54258 ms,126.39604 ms,0.42108 ms,126.81713 ms,
