Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,116438.82097 ms,30.26743 ms,32.02183 ms,1025.39749 ms²,95% with bounds 29.25555 ms - 31.27932 ms,3.04592 ms,18.17946 ms,50.97825 ms,138.58033 ms,0.42175 ms,139.00208 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,115479.19178 ms,30.01799 ms,31.79774 ms,1011.09629 ms²,95% with bounds 29.01318 ms - 31.02279 ms,3.04383 ms,17.42108 ms,50.38650 ms,113.55354 ms,0.42508 ms,113.97863 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (512bit),3847,115480.73499 ms,30.01839 ms,31.92051 ms,1018.91891 ms²,95% with bounds 29.00970 ms - 31.02707 ms,3.04292 ms,19.15338 ms,50.09696 ms,140.02725 ms,0.42154 ms,140.44879 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (512bit),3847,116608.05285 ms,30.31143 ms,32.13927 ms,1032.93276 ms²,95% with bounds 29.29582 ms - 31.32703 ms,3.04271 ms,17.56283 ms,50.95371 ms,118.51438 ms,0.42208 ms,118.93646 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (512bit),3847,116464.27507 ms,30.27405 ms,32.01002 ms,1024.64160 ms²,95% with bounds 29.26253 ms - 31.28557 ms,3.04275 ms,22.20175 ms,50.69971 ms,139.77017 ms,0.42146 ms,140.19163 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (512bit),3847,116609.16424 ms,30.31171 ms,32.15519 ms,1033.95599 ms²,95% with bounds 29.29561 ms - 31.32782 ms,3.04229 ms,22.27021 ms,50.77846 ms,137.38333 ms,0.42417 ms,137.80750 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (512bit),3847,116209.63225 ms,30.20786 ms,31.93572 ms,1019.89047 ms²,95% with bounds 29.19869 ms - 31.21703 ms,3.04246 ms,22.37383 ms,50.39808 ms,122.26754 ms,0.42225 ms,122.68979 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (512bit),3847,116443.02887 ms,30.26853 ms,31.98581 ms,1023.09233 ms²,95% with bounds 29.25778 ms - 31.27928 ms,3.04146 ms,22.26642 ms,50.82917 ms,118.84938 ms,0.42042 ms,119.26979 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (512bit),3847,116044.51425 ms,30.16494 ms,31.98075 ms,1022.76810 ms²,95% with bounds 29.15435 ms - 31.17553 ms,3.04125 ms,22.20004 ms,50.49508 ms,127.77092 ms,0.42171 ms,128.19263 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (512bit),3847,115562.28594 ms,30.03959 ms,31.84816 ms,1014.30521 ms²,95% with bounds 29.03318 ms - 31.04599 ms,3.03983 ms,17.60896 ms,50.29150 ms,115.23850 ms,0.42117 ms,115.65967 ms,
