Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,116570.96049 ms,30.30178 ms,32.21034 ms,1037.50580 ms²,95% with bounds 29.28394 ms - 31.31963 ms,3.03971 ms,22.11183 ms,50.89808 ms,124.39342 ms,0.42092 ms,124.81433 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,116995.03220 ms,30.41202 ms,32.39954 ms,1049.73011 ms²,95% with bounds 29.38819 ms - 31.43584 ms,3.04088 ms,22.32746 ms,50.53808 ms,173.84096 ms,0.42133 ms,174.26229 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (2048bit),3847,117361.51069 ms,30.50728 ms,32.37684 ms,1048.25966 ms²,95% with bounds 29.48417 ms - 31.53039 ms,3.04100 ms,22.29421 ms,51.17071 ms,121.43567 ms,0.42121 ms,121.85688 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (2048bit),3847,116327.02864 ms,30.23838 ms,31.97882 ms,1022.64471 ms²,95% with bounds 29.22784 ms - 31.24891 ms,3.04229 ms,22.34671 ms,50.45283 ms,123.99692 ms,0.42183 ms,124.41875 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (2048bit),3847,115739.67662 ms,30.08570 ms,31.85211 ms,1014.55693 ms²,95% with bounds 29.07917 ms - 31.09222 ms,3.04133 ms,19.94492 ms,50.62725 ms,124.26604 ms,0.42125 ms,124.68729 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (2048bit),3847,118745.97022 ms,30.86716 ms,32.94872 ms,1085.61808 ms²,95% with bounds 29.82598 ms - 31.90834 ms,3.04271 ms,21.89354 ms,51.57833 ms,131.11933 ms,0.42317 ms,131.54250 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (2048bit),3847,115686.54033 ms,30.07188 ms,31.87918 ms,1016.28195 ms²,95% with bounds 29.06450 ms - 31.07927 ms,3.03929 ms,17.52042 ms,50.75721 ms,117.01029 ms,0.42188 ms,117.43217 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (2048bit),3847,116007.95671 ms,30.15543 ms,31.99928 ms,1023.95394 ms²,95% with bounds 29.14426 ms - 31.16661 ms,3.04067 ms,19.14796 ms,50.65658 ms,114.86683 ms,0.42175 ms,115.28858 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (2048bit),3847,116250.20193 ms,30.21840 ms,32.05760 ms,1027.68953 ms²,95% with bounds 29.20538 ms - 31.23142 ms,3.03729 ms,18.07671 ms,50.83504 ms,121.40954 ms,0.42154 ms,121.83108 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (2048bit),3847,115921.05833 ms,30.13285 ms,31.74046 ms,1007.45700 ms²,95% with bounds 29.12985 ms - 31.13584 ms,3.04217 ms,22.35996 ms,50.64942 ms,123.13692 ms,0.42175 ms,123.55867 ms,
